	Location		Label
	00109b80		NuMtxRotateYR
	00109f08		NuMtxPreRotateY
	00109fb0		NuMtxRotateZ
	0010a080		NuMtxRotateZR
	0010a188		NuMtxPreRotateZ
	0010a230		NuMtxTransposeR
	0010a2a0		NuMtxTranspose
	0010a388		NuMtxInv
	0010a458		NuMtxInvR
	0010a4d0		NuMtxDet3
	0010a530		NuMtxLookAtX
	0010a5a0		NuMtxLookAtY
	0010a610		NuMtxLookAtZ
	0010a680		NuMtxAddR
	0010a738		NuMtxSubR
	0010a7f0		NuMtxSkewSymmetric
	0010a860		NuMtxGetXAxis
	0010a880		NuMtxGetYAxis
	0010a8a0		NuMtxGetZAxis
	0010a8c0		NuMtxGetTranslation
	0010a8e0		NuAtani
	0010ab20		NuAtanf
	0010adf0		NuAtan2D
	0010b0a0		NuTrigInit
	0010b128		NuAtan2
	0010b178		NuAngAdd
	0010b1a0		NuAngSub
	0010b1c8		NuPower2
	0010b1f8		NuFabs
	0010b218		NuFnabs
	0010b238		NuFneg
	0010b258		NuFsign
	0010b280		NuFres
	0010b2c8		NuEquiv
	0010b308		NuEquivTollerance
	0010b310		NuMtxToQuat
	0010b5b0		NuQuatSlerp
	0010b8a0		NuQuatToMtx
	0010b978		NuQuatAdd
	0010b9c0		NuQuatSub
	0010ba08		NuQuatMul
	0010bb10		NuQuatInv
	0010bb88		NuQuatNormalise
	0010bc80		NuQuatMagnitude
	0010bcb0		NuQuatLerp
	0010bd20		NuPlnPlnIntersect
	0010c180		NuPlnEqn
	0010c238		NuPlnEqnPn
	0010c280		NuPlnDist
	0010c2b8		NuPlnDist2
	0010c388		NuPlnLine
	0010c470		NuPlnLine2
	0010c618		NuPtInPoly
	0010c7d0		NuPtInPolyXY
	0010c8e8		NuPtInPolyYX
	0010ca00		NuPtInPolyXZ
	0010cb18		NuPtInPolyZX
	0010cc30		NuPtInPolyYZ
	0010cd48		NuPtInPolyZY
	0010ce60		NuLineToPointDistSqr
	0010cf80		NuPointRelToBoundingBox
	0010d088		NuClipXPlane
	0010d0e0		NuClipYPlane
	0010d138		NuClipZPlane
	0010d190		NuMtxCopy34VU0
	0010d1b0		NuMtxCopy44VU0
	0010d1d8		NuMtxScaleVU0
	0010d228		NuMtxPreScaleVU0
	0010d26c		NuMtxPreScaleUVU0
	0010d2a0		NuMtxInvVU0
	0010d320		NuMtxSetRotateXYZVU0Steve
	0010d468		NuMtxSetRotateXYZVU0ORIG
	0010d568		NuMtxSetRotateXYZVU0
	0010d668		NuMtxMulVU0
	0010d6e0		NuMtxMulnVU0
	0010d774		NuMtxMulArrayVU0
	0010d804		NuMtxMulRVU0
	0010d870		NuVecMtxTransformVU0
	0010d8c8		NuVec4MtxTransformHVU0
	0010d91c		NuVecInvMtxTransformVU0
	0010d98c		NuVecClipTestPointVU0
	0010da00		NuVecMtxRotateVU0
	0010da50		NuVecMagVU0
	0010da90		NuVecMagSqrVU0
	0010dac4		NuVecDiffVU0
	0010db20		NuVecDiffSqrVU0
	0010db70		NuVecNormVU0
	0010dbc0		NuVecLerpVU0
	0010dc28		NuVecConvertToIntVU0
	0010dc64		NuVec4MtxTransformVU0
	0010dc94		NuVec4MtxInvTransformVU0
	0010dce8		NuVecMtxTransformVU0NS
	0010dd70		NuVecMtxTransformZVU0NS
	0010de0c		XFormVuTriZ
	0010dee4		NuVecMtxTransformWVU0NS
	0010df90		NuVec4MtxTransformVU0N
	0010dfd4		NuVec4MtxRotateVU0
